municipality_id,district_id,municipality_name,number_of_wards
716,74,Chaurpati,7
717,74,Turmakhand,8
718,74,Mellekh,8
719,74,Dhakari,8
720,74,Bannigadi Jayagad,6
721,74,Mangalsen,14
722,74,Kamalbazar,10
723,74,Sanfebagar,14
724,74,Panchadewal Binayak,9
725,75,Navadurga,5
726,75,Aalitaal,8
727,75,Ganyapadhura,5
728,75,Bhageshwar,5
729,75,Ajaymeru,6
730,75,Amargadhi,11
731,75,Parshuram,12
732,76,Bhimdatta,19
733,76,Punarbas,11
734,76,Bedkot,10
735,76,Mahakali,10
736,76,Shuklaphanta,12
737,76,Belauri,10
738,76,Krishnapur,9
739,76,Laljhadi,6
740,76,Beldandi,5
741,77,Janaki,9
742,77,Kailari,9
743,77,Joshipur,7
744,77,Bardagoriya,6
745,77,Mohanyal,7
746,77,Chure,6
747,77,Tikapur,9
748,77,Ghodaghodi,12
749,77,Lamkichuha,10
750,77,Bhajni,9
751,77,Godawari,12
752,77,Gauriganga,11
753,77,Dhangadhi,19
